Date,Brazil, Chile, China, Colombia, Czech Republic, Hong Kong, Hungary, India, Indonesia, Korea, Malaysia, Mexico, Peru, Philippines, Poland, Singapore, South Africa, Taiwan, Thailand,Turkey
19/11/2008,14035.52553,3.7859,310.07256,2.98765,38.08404,1653.60894,53.4094,65.13277,0.09675,0.68869,1.02832,1409.77067,2316.5127,38.07982,8536.33695,3.09474,853.38365,128.65135,11.66505,12731.07112
20/11/2008,#N/A,3.61296,304.89004,2.94561,35.8724,1586.87002,50.70862,62.64335,0.09506,0.63046,1.02049,1346.80077,#N/A,36.89087,8162.9725,2.93579,1028.18718,122.37971,11.20962,12441.84152
21/11/2008,12712.28069,3.47457,302.67879,2.88512,36.25213,1633.23442,51.33989,65.18082,0.09396,0.68037,1.01219,1325.65916,#N/A,35.52404,8179.986,3.04217,814.49397,125.07046,11.27528,13092.901
24/11/2008,14695.39141,3.58403,291.79465,3.03798,40.19896,1607.10287,58.16644,65.31543,0.09131,0.66312,0.96621,1447.86593,2386.68275,36.08823,9021.69156,2.95521,864.22215,124.94114,10.946,15228.40379
25/11/2008,14997.78536,3.6043,290.57301,3.05526,42.07545,1660.38368,59.75095,64.11583,0.0927,0.65577,0.97733,1453.02544,2325.66117,38.58807,9257.10288,3.00205,1721.58345,127.91156,11.14318,15429.30512
26/11/2008,16080.07468,3.66599,291.91316,3.1238,41.90422,1724.02254,58.81328,66.32481,0.0974,0.69839,0.95725,1514.67258,2390.86208,39.37081,9319.19882,3.09811,1095.6939,128.90163,11.20715,15534.99236
28/11/2008,15819.76878,3.63676,287.1446,3.156,43.25733,1791.98472,62.38202,65.78044,0.10325,0.73252,0.96592,1533.73522,2391.57113,40.25666,9087.00984,3.24074,1056.33676,133.90844,11.32901,16409.27828
02/12/2008,14561.84052,3.45556,288.4609,3.11925,40.55195,1729.56393,61.01845,63.61515,0.09887,0.69985,0.93435,1465.45617,2286.64519,38.03095,8896.37962,3.05643,1025.21689,130.21458,10.89814,15442.54916
03/12/2008,14282.64446,3.41514,299.97835,3.18069,40.33791,1752.74224,60.84353,64.15195,0.09979,0.70702,0.93396,1479.75481,2257.3511,38.76854,8724.50925,3.01642,940.45933,128.45989,11.03088,15256.04207
04/12/2008,13961.75258,3.4362,306.40481,3.19758,42.01622,1742.70272,62.54653,67.30243,0.10108,0.67812,0.92504,1471.79708,2241.15127,38.32367,9045.67779,3.01481,864.99021,126.78665,11.00939,15903.41649
05/12/2008,14308.36732,3.42264,307.8931,3.14543,40.28854,1786.4309,59.06242,66.13858,0.10211,0.69668,0.92554,1464.42672,2173.09617,38.49521,8741.77285,3.02653,865.87706,125.89601,#N/A,14891.38786
08/12/2008,15309.67734,#N/A,320.48124,#N/A,43.03091,1941.04814,61.57841,67.22433,#N/A,0.76351,#N/A,1573.94109,#N/A,39.26679,9263.5227,#N/A,956.31128,131.89045,11.56726,#N/A
09/12/2008,15452.40706,3.46195,312.48749,3.25806,42.70999,1903.5676,63.21519,#N/A,0.11616,0.77311,0.93988,1589.92416,2286.42374,40.02213,9378.22843,3.38058,878.63213,133.51224,11.95627,#N/A
10/12/2008,16071.03355,3.50152,318.85361,3.33063,43.80386,2009.9791,63.39095,71.08601,0.12058,0.83121,0.99585,1610.30483,2326.41091,40.17447,9295.86723,3.62266,1210.75238,139.34111,#N/A,#N/A
11/12/2008,16335.48359,3.54256,310.78003,3.42999,43.97976,2014.64478,64.61132,72.12033,0.1197,0.85863,1.00427,1629.21315,2339.19816,40.56915,9736.99857,3.54447,1273.33501,139.89093,12.10232,#N/A
12/12/2008,16602.93459,3.61615,299.81229,3.41841,42.13302,1904.28382,59.97022,72.575,0.11006,0.80424,0.98683,#N/A,2304.08542,39.37662,9217.58222,3.40543,1008.26149,134.41122,12.13859,16036.61093
15/12/2008,16187.98216,3.61069,301.41301,3.47233,43.73463,1941.51688,60.21754,74.83143,0.12273,0.84509,0.99181,1581.85616,2285.91138,40.09346,9482.89586,3.54677,880.34202,139.38731,12.53578,16441.94874
16/12/2008,16899.8356,3.65811,303.08025,3.52811,43.86121,1952.23478,60.54554,76.4492,0.12043,0.86458,0.98384,1666.3923,2356.51642,39.81288,9540.895,3.62299,#N/A,140.11806,12.80362,16955.17729
17/12/2008,17027.88989,3.69459,303.70722,3.56544,45.30107,1994.88007,67.88769,74.65786,0.12781,0.89894,1.01025,1720.39938,2349.96749,40.60896,9549.20282,3.69004,1307.88179,143.19224,12.89776,17507.24097
18/12/2008,16736.34572,3.71476,309.36569,3.50168,45.26324,1999.69162,68.10655,78.58328,0.12334,0.90783,1.0539,1703.61501,2258.33929,40.80386,9527.93628,3.77121,1387.95716,145.1255,13.11995,17579.42058
19/12/2008,16395.53798,3.69086,310.08266,3.48673,43.14966,1951.91159,66.29245,78.59655,0.12313,0.90411,1.03731,1693.72261,2247.38765,40.4576,9103.89529,3.72781,1065.26167,144.44677,12.96433,17161.36215
22/12/2008,15751.16191,3.69325,304.67435,3.50425,43.4382,1886.54092,67.64561,76.46864,0.11853,0.89158,1.0341,1673.71126,2212.57936,38.94109,9032.89076,3.57835,577.06393,137.6074,12.5711,17104.52438
23/12/2008,15284.0421,3.72912,290.9088,3.45633,44.87665,1834.91697,65.39936,73.42394,0.11971,0.84651,1.02499,1669.84907,2217.73944,39.22051,9076.50926,3.498,360.15506,133.38965,12.72281,17295.36933
24/12/2008,#N/A,3.74055,285.92541,3.41358,#N/A,1830.02271,#N/A,73.66022,0.12207,0.86592,1.01547,1673.64867,2232.13845,39.38696,#N/A,3.55463,157.08037,133.95185,12.69277,17126.77315
26/12/2008,15574.85693,3.73533,284.18365,3.41289,#N/A,#N/A,#N/A,71.63105,0.11866,0.84654,0.97701,1685.24209,#N/A,#N/A,#N/A,3.52535,#N/A,133.89047,12.76787,17543.17114
